Entity_Name,Entity_Type,Entity_Subtype,Entity_Status,Incorporation_Date,License_Status,License_Expiry_Date,Corporate_Service_Provider,Confirmation_Statement_last_filed_on,Accounting_Reference_Date,Category__c,Invoice_Count__c,Amount_of_Authorised_Share_Capital__c,Registration_Number__c,Document_Name__c,License_Public_Link__c,Total_Number_of_Issued_Share__c,Total_Number_of_issued_Share_FT__c,Business_Activity,Trade_Names,Addresses,Shareholder,Director,Secretary
13CAL SPORTS HOLDING LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-05-02,Licensed,2025-05-01,,2024-05-29,2024-12-31,Non-Financial (Category B),25,1000.0,000009738,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kKNa/AfWsaHSSBRWPJTrY_SqgmzB6MN.2HYY6SyrrlpKnQ1U,10000000.0,10000000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"None || Suite 204, Level 15, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || None || None","Name : Hischam  Telib, Appointment Date : 2024-09-30 || Name : Ellen Benedicte  Soehoel, Appointment Date : 2023-05-02 | Name : Robert Peter  Wilcocks, Appointment Date : 2023-05-02 || Name : None, Appointment Date : 2024-05-28","Name : Hischam  Telib, Appointment Date : 2024-09-19 || Name : Ellen Benedicte  Soehoel, Appointment Date : 2023-05-02 | Name : Robert Peter  Wilcocks, Appointment Date : 2023-05-02 | Name : Wayne Benjamin  Merrick, Appointment Date : 2024-05-28 | Name : Carl James  Dowling, Appointment Date : 2024-05-28",
12 DEEP BLUE SPV LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-06-02,Licensed,2025-06-01,PRAXISIFM TRUST LIMITED,2024-09-03,2024-12-31,Non-Financial (Category B),17,1000.0,000009325,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kLa4/zp_vY7FAEKdlIqLywTw5J7ZMX3TAbWepVaVSBwtgyPw,1000.0,1000,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle | Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"Suite #408, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Suite #408, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Suite#408 Desk DO1,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | Suite#408 Desk D01,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | None || Suite#408 Desk D01,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | None | Suite#408 Desk DO1,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Najib Taleb Ibrahim  Nasser, Appointment Date : 2023-06-02","Name : Najib Taleb Ibrahim  Nasser, Appointment Date : 2023-06-02",
1968B SPV RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2023-11-13,Licensed,2025-11-12,WALKERS PROFESSIONAL SERVICES (MIDDLE EAST) LIMITED,2024-11-29,2024-12-31,Non-Financial (Category B),13,,15509,Register of Beneficial Ownership - 1968B SPV RSC LIMITED,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kI0q/hsQW5wTF2zhsIxBpR11eNrGlFy6jm.g.9DkjBx3K0ls,10.0,10,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || 2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2023-11-13","Name : Lars  Kramer, Appointment Date : 2023-12-14 || Name : Eric Imad  Shehadeh, Appointment Date : 2023-11-13",
1M TECHNOLOGIES INTERNATIONAL LTD,Private Company Limited By Shares,Innovation,Registered,2025-03-19,Licensed,2026-03-18,,,2025-12-31,Non-Financial (Category B),14,1000.0,25780,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000001BUGj/YpgVUpaUBoADF_J3x5WSmOeW5GCb1TWcrcRNAR7.ABU,10000000.0,10000000,"Type:Non-Financial (Category B), Code:6210 Section:J Information and communication, Activities:Innovation - tech start up",,"DD-16-109-016, 16, Al Khatem Tower,WeWork Hub71, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-16-109-016, 16, Al Khatem Tower,WeWork Hub71, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, WeWork Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Abu Dhabi, Al Maryah Island, United Arab Emirates","Name : None, Appointment Date : 2025-03-19","Name : Matthew Reeves  Shroder, Appointment Date : 2025-03-19 | Name : Brian Walker  Shroder, Appointment Date : 2025-03-19 | Name : Abhishek  Baid, Appointment Date : 2025-03-19",
1P INVESTMENT HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2025-01-08,Licensed,2026-01-07,CLARA FORMATIONS LIMITED,,2025-12-31,Non-Financial (Category B),1,1000.0,24082,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kMsw/6Y9Hlnecxn3xpPz5kx_lIZBqykBUQG62K_JtgTGjd7I,200000.0,200000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:holding ownership of equity and non-equity assets  (not permitted to register branches in any jurisdiction - permitted to incorporate wholly owned or partially owned subsidiaries outside of ADGM, subject to NOC issued by ADGM Registration Authority)",,"DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Naif Talal N  Mulaeb, Appointment Date : 2025-01-08 | Name : Shaikh Sultan Khalifa Sultan Shakhboot  Al-Nahyan, Appointment Date : 2025-01-08","Name : Naif Talal N  Mulaeb, Appointment Date : 2025-01-08 | Name : Shaikh Sultan Khalifa Sultan Shakhboot  Al-Nahyan, Appointment Date : 2025-01-08",
1971A HOLDING RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2025-03-19,Licensed,2026-03-18,WALKERS PROFESSIONAL SERVICES (MIDDLE EAST) LIMITED,,2025-12-31,Non-Financial (Category B),3,,26642,UBO registers,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000001Cg69/jHjaz8Oc4Smz3fZx2qgQsjgVT0zgYIY.UI4hb0IAWzg,10.0,10,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets     (not permitted to register branches - permitted to incorporate wholly or partially owned subsidiaries outside of ADGM).",,"2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || 2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2025-03-19","Name : Nimer Muhammad Nimer  Basbous, Appointment Date : 2025-03-19",
1970 HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2021-02-07,Licensed,2026-02-06,,2025-03-18,2025-12-31,Non-Financial (Category B),34,10000.0,000005227,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000003IvXc/CKEmoXpT2gh7DxEPnAip1v0TEvkLa01MeCXcD5XASw4,100.0,100,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,None || None,"Name : Momoh Jimah  Oyarekhua, Appointment Date : 2021-02-07","Name : Momoh Jimah  Oyarekhua, Appointment Date : 2021-02-07",
1968D SPV RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2024-10-16,Licensed,2025-10-15,,,2025-12-31,Non-Financial (Category B),3,,20822,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kHgo/8Oea43Ts.Ykfyeduv6QymzSG1e2LMiCnf0g6T4ndkfA,1000.0,1000,"Type:Non-Financial (Category B), Code:7016 Section:M Professional, scientific and technical activities, Activities:Special purpose company | Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,"Part of 26th Floor, 26, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Part of 26th Floor, 26, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2024-10-16","Name : Lars  Kramer, Appointment Date : 2024-10-16",
1968C SPV RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2024-10-16,Licensed,2025-10-15,,,2025-12-31,Non-Financial (Category B),2,,20794,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kHb1/Ix0HU7XhUTPSpeNVsdvIwLufY0Ns5xFkImDQsF128v0,1000.0,1000,"Type:Non-Financial (Category B), Code:7016 Section:M Professional, scientific and technical activities, Activities:Special purpose company | Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,"Part of 26th Floor, 26, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Part of 26th Floor, 26, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2024-10-16","Name : Lars  Kramer, Appointment Date : 2024-10-16",
1971 HOLDING RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2025-03-19,Licensed,2026-03-18,WALKERS PROFESSIONAL SERVICES (MIDDLE EAST) LIMITED,,2025-12-31,Non-Financial (Category B),3,,26640,UBO Registers,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000001Cfrd/CYTGGXsLg8AC.MBucYg8zwdvLAy4GvBjjrMSmHbdGFI,10.0,10,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets     (not permitted to register branches - permitted to incorporate wholly or partially owned subsidiaries outside of ADGM).",,"2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || 2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2025-03-19","Name : Nimer Muhammad Nimer  Basbous, Appointment Date : 2025-03-19",
1968A SPV RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2023-11-13,Licensed,2025-11-12,WALKERS PROFESSIONAL SERVICES (MIDDLE EAST) LIMITED,2024-11-29,2024-12-31,Non-Financial (Category B),13,,15507,Register of Beneficial Ownership - 1968A SPV RSC LIMITED,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kK7E/WY9JRXRpLAK1XF9n6eSiX2y8BjZW8NVslMBZDDcZoz8,10.0,10,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || 2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2023-11-13","Name : Lars  Kramer, Appointment Date : 2023-12-14 || Name : Eric Imad  Shehadeh, Appointment Date : 2023-11-13",
2 X L HOME L.L.C S.O.C,Branch of a Foreign Company,,Registered,2025-08-21,Licensed,2026-08-20,,,2026-12-31,Retail (Category C),17,,28462,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000003twHp/RvpYcALmjHMd9XgNSjTdydzAeB8MGcvKu53ysE5ZkpE,300.0,300,"Type:Retail (Category C), Code:4753 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail sale of carpets, rugs, wall and floor coverings in specialized stores | Type:Retail (Category C), Code:4753006 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail Sale of Wallpaper | Type:Retail (Category C), Code:4759 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores | Type:Retail (Category C), Code:4759001 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail Sale of House Furniture and Cabinet Work | Type:Retail (Category C), Code:4773920 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail Sale of office Furniture","Trade Name:2 X L HOME, Trade Name Became Effective on:2025-08-21","Unit 12310 (SU), LEVEL 02, The Galleria Al Maryah Island, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Unit 12310 (SU), LEVEL 02, The Galleria Al Maryah Island, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2025-08-21","Name : Suood Abdulrahman Ali Mohammed  Alsaadi, Appointment Date : 2025-08-21",
2FAST HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-02-15,Licensed,2025-02-14,,2024-03-15,2023-12-31,Non-Financial (Category B),11,1000.0,000009374,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kImO/QQjkrIfyTeSqRQDGYvoeliFsCccM7tUofSFWcFGM_LY,1428318.0,1428318,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,None || None,"Name : Abdullah Nasser A  Alshubaili, Appointment Date : 2023-02-15 || Name : None, Appointment Date : 2024-01-11","Name : Abdullah Nasser A  Alshubaili, Appointment Date : 2023-02-15",
2 XL FURNISHINGS - L.L.C - S.P.C,Branch of a Foreign Company,,Registered,2019-08-08,Licensed,2025-08-07,,,,Retail (Category C),108,,000002808,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kHzO/XkvjJ88q7mWqJzwd24N3aM0WuLKmibPRFA5jj6z8aGs,300.0,300,"Type:Retail (Category C), Code:4759 Section:G Wholesale and retail trade; repair of motor vehicles and motorcycles, Activities:Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Trade Name:2 X L HOME L.L.C, Trade Name Became Effective on:2024-07-17 || Trade Name:2XL FURNITURE & HOME DECOR, Trade Name Became Effective on:2019-08-08",None || None,,"Name : Hamad Abdulla Rashed Al  Shamsi, Appointment Date : 2019-08-08 | Name : Mohammad Bin Ahmad Bin Saeed Al  Qassimi, Appointment Date : 2019-08-08",
247 CAPITAL HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-02-08,Licensed,2026-02-07,,2025-02-11,2025-12-31,Non-Financial (Category B),17,1000.0,000009292,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kP3s/mEeVV4IQ0ljDqeM5mvXwc60ed38hv0dWYafloqwbfgg,1000000.0,1000000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,None || None,"Name : Evgeny  Lvov, Appointment Date : 2023-02-08 | Name : Ilia  Glazyrin, Appointment Date : 2023-02-08 | Name : Nikolai  Antipushin, Appointment Date : 2023-02-08","Name : Evgeny  Lvov, Appointment Date : 2023-02-08 | Name : Ilia  Glazyrin, Appointment Date : 2023-02-08 | Name : Nikolai  Antipushin, Appointment Date : 2023-02-08",
25H INVESTMENT HOLDING LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2025-01-23,Licensed,2026-01-22,SWISS GROUP LEGAL LTD,,2025-12-31,Non-Financial (Category B),2,10000.0,23869,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kNxJ/lDOGh8UcD3MVsdt2Ut.J1q4TkE0mLylk5rMk1yVcgNA,10000.0,10000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:holding ownership of equity and non-equity assets  (not permitted to register branches in any jurisdiction - permitted to incorporate wholly owned or partially owned subsidiaries outside of ADGM, subject to NOC issued by ADGM Registration Authority)",,"Office 2421, Level 24, Al Sila Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Office 2421, Level 24, Al Sila Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : JOSEPH  THOMAS, Appointment Date : 2025-01-23 || Name : None, Appointment Date : 2025-01-23","Name : Mehdi  Ghazzali, Appointment Date : 2025-01-23","Name : Mehdi  Ghazzali, Appointment Date : 2025-01-23"
28HOLDING IP LTD,Private Company Limited By Shares,Special Purpose Vehicle,Deregistered,2021-03-22,License cancelled,2023-07-14,,2022-03-23,2022-12-31,Non-Financial (Category B),4,1000.0,000005236,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kJ1F/UTcfR5g57Al3Zqo9zlQ_hvL6ThVg_k8UA_O18m_nKy8,,0,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,None | None || None || None || None | None,"Name : Alexander Edward  Debare, Appointment Date : 2021-03-22","Name : Alexander Edward  Debare, Appointment Date : 2021-03-22",
21 HOLDING LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2025-02-17,Licensed,2026-02-16,SWISS GROUP LEGAL LTD,,2025-12-31,Non-Financial (Category B),2,1000.0,25850,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kPdB/OZJ3f1E91MR4DQQlyJBHKY4e4hGXlWEMEblKp.5XMQ4,1000.0,1000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:holding ownership of equity and non-equity assets  (not permitted to register branches in any jurisdiction - permitted to incorporate wholly owned or partially owned subsidiaries outside of ADGM, subject to NOC issued by ADGM Registration Authority)",,"Office 2421, Level 24, Al Sila Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Office 2421, Level 24, Al Sila Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Ulf Christian  Vilhelmsson, Appointment Date : 2025-02-17 | Name : Nour Abdul Razak  Turkawi, Appointment Date : 2025-02-17","Name : Ulf Christian  Vilhelmsson, Appointment Date : 2025-02-17 | Name : Nour Abdul Razak  Turkawi, Appointment Date : 2025-02-17","Name : Ulf Christian  Vilhelmsson, Appointment Date : 2025-02-17"
24 7 MEDIA HOLDING LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2022-03-16,Licensed,2026-03-15,,2025-03-17,2024-12-31,Non-Financial (Category B),30,10000.0,000007195,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM0000035WYc/1WP5GPjNaKE26odYsYTlRpaYkMn6lO9jZ5IdoGKkZN0,10000.0,10000,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,None || None,"Name : Rafiq Abdulrahim Rafiq  Abu-Hijleh, Appointment Date : 2023-05-02 || Name : None, Appointment Date : 2023-07-12 || Name : None, Appointment Date : 2022-03-16","Name : Jawad  Hassan, Appointment Date : 2023-08-21 | Name : Omar  Fayed, Appointment Date : 2023-08-21 | Name : Rafiq Abdulrahim Rafiq  Abu-Hijleh, Appointment Date : 2023-05-12 || Name : Phlippe  Germain, Appointment Date : 2022-03-16",
2040 VENTURES HOLDINGS LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2022-06-20,Licensed,2026-06-19,,2025-07-16,2024-12-31,Non-Financial (Category B),14,50000.0,000007672,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM0000033obG/eB20_gvPp9Bm9cgya_uJPAFlrnfzh1rQvgE87F5l1LA,50000.0,50000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,None || None || None,"Name : Taufiq Zulficar  Rahim, Appointment Date : 2022-06-20","Name : Taufiq Zulficar  Rahim, Appointment Date : 2022-06-20","Name : Taufiq Zulficar  Rahim, Appointment Date : 2022-06-20"
256 NETWORK MENA LIMITED,Private Company Limited by Guarantee,Association,Registered,2022-11-25,Licensed,2025-11-24,,2024-12-31,2025-03-31,Non-Financial (Category B),27,,000008350,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kMQK/G1V4iTMEurjgpn3q3x6JKy_AcHkCDIQJVls8DB.zu78,,0,"Type:Non-Financial (Category B), Code:9412 Section:S Other service activities, Activities:Activities of professional membership organizations","Trade Name:256 NETWORK, Trade Name Became Effective on:2022-11-25","Cloud Suite # 313 - D05 & D06,, 11th,, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Cloud Suite # 313 - D05 & D06,, 11th,, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || None | 2446 ResCo-work5, Level 24, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || None | 2446 ResCo-work5, Level 24, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates",,"Name : Dhruv  Sehra, Appointment Date : 2022-11-25",
24 NORTH HOLDING RSC LTD,Restricted Scope Company,Special Purpose Vehicle,Registered,2024-01-04,Licensed,2026-01-03,,2025-01-07,2024-12-31,Non-Financial (Category B),11,1000.0,16197,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kMmp/wTn.b0ooSHQWD2n6i0xUAQtxDX_DsKN0BjDnBbj0Tps,1000.0,1000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"Office 3701 & 3712, Floor 37, Addax Port Office Tower, Tamouh, Al Reem Island, Abu Dhabi, United Arab Emirates || Office 3701 & 3712, Floor 37, Addax Port Office Tower, Tamouh, Al Reem Island, Abu Dhabi, United Arab Emirates || Sub-Unit 1 of the Unit 4, Level 8, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Sub-Unit 1 of the Unit 4, Level 8, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2024-01-04","Name : Syed Basar Shueb Syed  Shueb, Appointment Date : 2024-01-04 | Name : Mariam Mohammed Saeed Hareb  Almheiri, Appointment Date : 2024-12-10 | Name : Mohamed Mohamed Hesham Abdelmonam  Attia, Appointment Date : 2024-12-10",
